SITIO,d,cw,h,cb
5,16.6,4.25,12.9,7.2
5,13.4,2.95,12.5,7.4
5,19.5,5.35,12.6,7
5,13.5,3.1,11.5,7.2
5,10.7,2.8,8.7,4.7
5,12.8,2.8,12.1,8.5
5,49.9,3.95,23.1,15
5,10.4,3,10.1,5.5
5,11.8,3.75,8.5,5.4
5,9.9,2.3,10.5,7
5,17.9,3.95,10.7,5.9
5,13.4,2.25,9.2,5.1
5,16.2,4.55,12.1,6.1
5,11.3,2.55,9.9,6.4
5,13.4,4.2,11.5,5.2
5,13.4,4,9.2,6.4
5,14.3,4.05,12.3,8.6
5,11.2,2.9,10.9,6.3
5,15.8,4.55,10,5.7
5,14,2.45,12.8,8.8
5,9.5,3,8.8,4.8
5,15.7,3.75,10.8,6.1
5,17.9,4.55,11,5.3
5,9.4,3.3,6.4,3.4
5,17.9,4.55,12.6,6.6
5,15.2,2.8,10,6.4
5,14.6,3.85,11.5,4.9
5,10.2,3.6,7.4,4
5,12,2.65,10.4,6.9
5,13.6,3,10.2,7.5
5,15.2,3.85,11.1,6.5
5,13.7,3.1,12.7,9.1
5,16.7,4.4,11.3,6.1
5,14.9,3.7,10.6,5.5
5,9.2,2.35,8.3,5.2
5,12.1,3.1,10.6,5.9
5,15.3,4.6,10.8,6.1
5,14.5,3.3,11.5,7.4
5,11.3,3,8.7,5
5,10.2,3.05,10,7.3
5,20.5,4.1,14.5,7.7
5,10.6,3,7.4,4.6
5,16,4.1,12.3,7.1
5,50,9.25,18.6,10.7
5,20.6,4.35,14.6,6.8
5,12.8,2.75,11.3,5.2
5,13.8,2.75,11.6,6.6
5,14.2,3.95,9,4.2
5,9.2,2.65,8.8,7.4
5,10.2,3.05,7.8,4.8
5,13.8,3.5,11.2,8
5,11.7,2.7,11.1,7
5,14.5,3.75,9.3,4.6
5,21.5,3.95,12.5,6.6
5,11,2.8,10.6,6.7
5,12.4,3.3,9.9,6.6
5,8.9,2.05,8.2,4.9
5,9.3,2.45,8.6,5.5
5,10.7,2.7,10.4,7.2
41,29.8,8.95,18.3,11.8
41,25.1,7.35,18.9,16.1
41,22.9,6.75,14.1,13.8
41,29.4,7.05,19.2,14.2
41,26.8,3.95,17.8,14.9
4,13.7,3.65,9.9,7
4,34.9,4.6,16.8,10
4,15.2,5.2,10,7.1
4,12.4,4.2,8.1,7.8
4,29.6,5.55,18.2,11.3
4,17.7,3.7,13.8,10
4,29.9,6,17.8,11.1
4,17.9,4.3,14.1,9.2
4,35.5,6.15,16.7,13
4,24.4,5.6,14.5,9.2
4,27.4,6.45,19,15.8
4,28.4,8.1,15.1,10.8
4,29.5,4.9,15,11.5
4,30.8,5.9,16,13
4,24.5,5.4,10.2,8.5
4,15.6,3.2,14.9,9.1
4,27.5,6.9,14.2,6.2
4,34.2,6.75,19,10.2
4,35.4,8.85,13.8,10.2
4,30.5,7.1,14.5,10.1
4,10.9,3.5,9.2,4.6
4,23.8,4.35,17.1,12.9
4,12,3.35,9.2,5.7
4,12.9,8.4,9.6,8
4,17.5,5.25,13.4,9.1
4,21.7,5.75,14.8,10.2
4,26.6,5.25,14.5,9.9
4,34.8,8.6,18.2,15.5
4,14.7,2.95,9.9,7
4,22.1,5.9,17.3,10.1
4,25.7,7.75,13.6,10.1
4,25.3,5.5,17.8,11.2
4,31.2,7,14.7,12.7
4,14,3.9,10.2,9
4,43.5,9.2,17.6,14
4,28.5,6.4,16.3,11.2
4,15.4,4.95,11.3,8.6
4,20.2,4.5,13.3,10.8
4,30.7,5.7,19.4,15
2,28.3,8.8,18.1,13.2
2,19.9,5.2,16.7,14.2
2,18.9,4.8,15.9,13.7
2,41.3,11.95,19,13.5
2,29.7,8.5,18.5,15.3
2,15.3,3.55,16.9,15.1
2,37.4,11.8,19.7,19.1
2,27.7,8,18.5,15.9
2,26.4,7.8,17,14.4
2,15.5,4.35,16.1,13.9
2,29.3,7.15,17.1,13.8
2,20.1,3.95,16.9,15.9
2,32.3,11.4,18,15.2
2,20,5.9,15.6,9.9
2,27.4,7.65,18.5,13.9
2,16.9,2.95,16,13.5
33,22.9,6.85,12.7,5.5
33,18.3,4.3,13.3,7.4
33,23,5.95,15,8.6
33,23.7,7.4,18.2,9.4
46,26.5,7.05,22,9.5
3,9.9,2.55,8.9,6.9
3,14.2,2.7,14.1,8.9
3,9,3.75,7.9,5.2
3,26.1,5.9,13.9,11.2
3,14.8,4.15,10.2,8.6
3,18.6,5,11.8,7.2
3,10,4.45,9.9,8
3,14.2,4.2,10.2,8.2
3,12.2,3.7,11.6,5.1
3,13.7,3.45,10.2,8
3,16.3,3.9,11.2,8.1
3,11.5,3.05,7.2,6.1
3,29.2,8.55,16.8,11.3
3,9,2.6,7.8,6
3,33.3,8.1,17.6,11.2
3,26.1,4.85,16.9,10.8
3,15.4,3.75,9.7,7.3
3,11.4,3.4,9.3,8
3,12.3,3.4,9.3,7.2
6,13.3,5.15,8.8,6
6,16.3,4.25,11.5,9.2
6,16.6,4.65,13.9,10.3
6,14,3.3,11.1,9.2
6,10.7,4.3,7.6,4.7
6,10.3,2.9,9.7,8.5
6,17.8,5.4,11.8,8.5
6,12.9,3.9,9.1,8.2
6,23.8,5.7,14.8,12.3
6,20,4.75,16.2,12.8
6,17.9,5.5,11.5,5.9
6,12,2.7,10.6,9.1
6,15.4,4.8,11.2,9.4
6,12.8,3.2,9.5,8.2
6,16.9,4.95,12,9.4
6,11.7,3.05,9.5,8.3
6,19.8,5.55,13.4,10.2
6,18,5.6,11.9,5.4
6,17.3,5.35,13.8,9.4
6,14.6,3.8,12.9,10.5
6,18.1,4,13.4,9.9
6,10.7,3.45,8.5,7
6,10.8,3.1,8.7,6.2
6,11.3,3.15,10,7.5
6,13,3.85,11.6,9.9
6,13.9,3.75,11.4,9.8
6,16,4.45,10.6,7.1
6,22.2,5.4,14.8,9.5
6,11.4,3.6,8.5,7.1
6,17.1,4.05,11.9,9.3
6,21.4,6.15,13.5,8.8
6,15.7,4.15,12.6,10.4
6,19.3,3.95,12.2,10.2
6,13.5,3.15,11.8,10.5
6,25.9,5.05,15,11.6
6,14.5,4.1,11.6,10.1
6,13.5,4.6,9.6,7.1
6,13.8,4.25,9.6,7.4
6,24.7,6.05,15.5,13.3
6,25.2,5.4,15.6,12.5
6,10.4,2.8,8.9,7.5
6,21.4,6,13.5,10.4
6,13.1,3.5,10.5,8
6,16.2,4.6,10.5,7
6,13,3,11.8,10.3
6,12.6,3.8,10,8.7
6,16.9,4.45,11.8,9.3
6,18.7,4.85,13.5,11.2
6,15.3,3.65,11.7,9.9
6,20,5.35,15.3,11.8
6,13.4,3.8,11.2,9.1
6,16.2,4.25,11.7,9.5
6,16.6,5.75,9.9,7.2
6,26.2,6.55,15.7,10.5
6,9.9,3.35,8.8,6.1
6,19.6,4.9,16,13.1
6,13.3,2.75,11.3,9.4
6,11.8,3.65,7.9,5.6
6,12.2,3.9,9.8,7
6,23.4,6.7,14.8,11.9
6,19.9,6.45,15.3,7.8
6,13.8,3.45,9.6,6.2
6,12.3,3.65,8.5,7
6,22.8,4.95,14.2,11.4
6,13.9,4.2,11.2,8.7
6,12.3,3.3,10.7,8.7
6,13.4,4.2,9.7,7.2
6,16.2,4.05,11.4,9.3
6,18.6,4.2,12.8,9.5
6,17.4,5.2,11.3,8
6,17.2,4.65,13.2,11
6,10.6,2.85,9.2,7.8
6,14.6,4.15,11,7.4
6,22,6.4,15.4,8.8
6,15.3,5.1,11.4,8.9
6,11.2,4.2,8.2,6.8
6,14.7,4.15,11.2,9
6,19.8,5.4,11.8,8.7
6,31.7,5.1,17.2,8.4
6,12.5,5.1,9.1,6
6,19.2,5.95,13.9,10.7
6,19.8,4.95,13.1,11.5
6,15.2,5.45,10.5,6.15
